Syed Abid Ali
Bishan Singh Bedi
Farokh Engineer
Sunil Gavaskar
Madan Lal
Sudhir Naik
Brijesh Patel
Eknath Solkar
Srinivasaraghavan Venkataraghavan
Gundappa Viswanath
Ajit Wadekar
Gopal Bose
Ashok Mankad
Mohinder Amarnath
Anshuman Gaekwad
Karsan Ghavri
Syed Kirmani
Parthasarathy Sharma
Dilip Vengsarkar
B. S. Chandrasekhar
Pochiah Krishnamurthy
Sudhakar Rao
Surinder Amarnath
Chetan Chauhan
Kapil Dev
Yashpal Sharma
Bharath Reddy
Surinder Khanna
Kirti Azad
Roger Binny
Dilip Doshi
Sandeep Patil
T. E. Srinivasan
Yograj Singh
Randhir Singh
Ravi Shastri
Krishnamachari Srikkanth
Suru Nayak
Arun Lal
Ashok Malhotra
Ghulam Parkar
Balwinder Sandhu
Maninder Singh
T. A. Sekhar
Chetan Sharma
Raju Kulkarni
Manoj Prabhakar
Ashok Patel
Rajinder Ghai
Kiran More
Mohammad Azharuddin
Sadanand Viswanath
Lalchand Rajput
Laxman Sivaramakrishnan
Gopal Sharma
Shivlal Yadav
Chandrakant Pandit
Raman Lamba
R. P. Singh
Bharat Arun
Navjot Singh Sidhu
Arshad Ayub
Woorkeri Raman
Ajay Sharma
Sanjeev Sharma
Sanjay Manjrekar
Narendra Hirwani
V. B. Chandrasekhar
Rashid Patel
M. Venkataramana
Robin Singh
Salil Ankola
Vivek Razdan
Sachin Tendulkar
Venkatapathy Raju
Atul Wassan
Gursharan Singh
Anil Kumble
Saradindu Mukherjee
Vinod Kambli
Javagal Srinath
Pravin Amre
Subroto Banerjee
Sourav Ganguly
Ajay Jadeja
Vijay Yadav
Rajesh Chauhan
Nayan Mongia
Venkatesh Prasad
Atul Bedade
Bhupinder Singh, Sr.
Aashish Kapoor
Prashant Vaidya
Utpal Chatterjee
Rahul Dravid
Vikram Rathour
Paras Mhambrey
Sunil Joshi
Sujith Somasunder
Pankaj Dharmani
Saba Karim
Dodda Ganesh
Abey Kuruvilla
Noel David
Nilesh Kulkarni
Harvinder Singh
Debashish Mohanty
Sairaj Bahutule
Hrishikesh Kanitkar
Rahul Sanghvi
Ajit Agarkar
V. V. S. Laxman
Harbhajan Singh
Gagan Khoda
M. S. K. Prasad
Nikhil Chopra
Jatin Paranjpe
Sanjay Raul
Laxmi Ratan Shukla
Gyanendra Pandey
Amay Khurasiya
Sadagoppan Ramesh
Virender Sehwag
Jacob Martin
Vijay Bharadwaj
Thirunavukkarasu Kumaran
Devang Gandhi
Sameer Dighe
Sridharan Sriram
Hemang Badani
Amit Bhandari
Vijay Dahiya
Zaheer Khan
Yuvraj Singh
Reetinder Singh Sodhi
Dinesh Mongia
Ashish Nehra
Shiv Sunder Das
Deep Dasgupta
Ajay Ratra
Sanjay Bangar
Mohammad Kaif
Sarandeep Singh
Murali Kartik
Tinu Yohannan
Jai Yadav
Lakshmipathy Balaji
Parthiv Patel
Gautam Gambhir
Aavishkar Salvi
Amit Mishra
Abhijit Kale
Irfan Pathan
Rohan Gavaskar
Ramesh Powar
Dinesh Karthik
M.S. Dhoni
Joginder Sharma
Suresh Raina
Yalaka Venugopal Rao
R. P. Singh
S. Sreesanth
Munaf Patel
V. R. V. Singh
Robin Uthappa
Wasim Jaffer
Piyush Chawla
Rohit Sharma
Ishant Sharma
Praveen Kumar
Manoj Tiwary
Yusuf Pathan
Manpreet Gony
Pragyan Ojha
Virat Kohli
Subramaniam Badrinath
Ravindra Jadeja
Abhishek Nayar
Sudeep Tyagi
Abhimanyu Mithun
Murali Vijay
Ashok Dinda
Vinay Kumar
Umesh Yadav
Ravichandran Ashwin
Naman Ojha
Pankaj Singh
Shikhar Dhawan
Saurabh Tiwary
Wriddhiman Saha
Ajinkya Rahane
Varun Aaron
Rahul Sharma
Bhuvneshwar Kumar
Mohammed Shami
Ambati Rayudu
Jaydev Unadkat
Cheteshwar Pujara
Mohit Sharma
Stuart Binny
Parvez Rasool
Axar Patel
Dhawal Kulkarni
Karn Sharma
Kedar Jadhav
Manish Pandey
Barinder Sran
Rishi Dhawan
Gurkeerat Singh
Jasprit Bumrah
Yuzvendra Chahal
Karun Nair
KL Rahul 
Faiz Fazal
Hardik Pandya
Jayant Yadav
Kuldeep Yadav
Shardul Thakur
Shreyas Iyer
Washington Sundar
Siddarth Kaul
Khaleel Ahmed
Deepak Chahar
Rishabh Pant 
Mohammed Siraj
Vijay Shankar
Shubman Gill
Shivam Dube
Navdeep Saini
Mayank Agarwal
Prithvi Shaw
